Hour,January,February,March,April,May,June,July,August,September,October,November,December
1,0.0314,0.0309,0.031,0.0318,0.0322,0.0328,0.0324,0.0312,0.03,0.0307,0.03,0.0315
2,0.0288,0.0283,0.0284,0.0287,0.0283,0.0284,0.0281,0.0275,0.0274,0.028,0.0275,0.0288
3,0.0275,0.0272,0.0274,0.0274,0.0267,0.0264,0.0262,0.0258,0.026,0.0267,0.0264,0.0274
4,0.027,0.0269,0.027,0.027,0.0261,0.0256,0.0254,0.0252,0.0256,0.0261,0.0259,0.0268
5,0.0274,0.0274,0.0277,0.0275,0.0265,0.0255,0.0254,0.0255,0.0262,0.0268,0.0265,0.0272
6,0.0297,0.03,0.0305,0.0302,0.0288,0.0277,0.0272,0.0276,0.0289,0.0294,0.0291,0.0293
7,0.0362,0.0374,0.0379,0.0377,0.0366,0.0346,0.0334,0.0336,0.0374,0.0364,0.0367,0.0352
8,0.043,0.0447,0.0446,0.0451,0.0443,0.0415,0.0403,0.0406,0.0452,0.0442,0.0437,0.0413
9,0.0454,0.0468,0.0471,0.0482,0.0475,0.0462,0.0456,0.046,0.0482,0.0477,0.0463,0.0448
10,0.0463,0.0475,0.0476,0.0487,0.0485,0.048,0.048,0.0483,0.0489,0.0482,0.0475,0.0465
11,0.0463,0.0469,0.0468,0.0478,0.0479,0.0483,0.0488,0.049,0.0482,0.0479,0.0473,0.047
12,0.0458,0.046,0.0457,0.0463,0.0469,0.048,0.0486,0.0487,0.0469,0.0468,0.0466,0.0467
13,0.0451,0.0449,0.0447,0.0451,0.0461,0.0476,0.0479,0.048,0.0458,0.0457,0.0459,0.0462
14,0.045,0.0449,0.0447,0.045,0.0461,0.0478,0.048,0.0484,0.0459,0.0455,0.0463,0.0464
15,0.0447,0.0443,0.0443,0.0441,0.0453,0.0471,0.0473,0.0475,0.0451,0.0451,0.0459,0.0464
16,0.0457,0.0447,0.0448,0.0442,0.0452,0.0469,0.0471,0.0473,0.0451,0.045,0.0472,0.048
17,0.0488,0.0459,0.0457,0.0445,0.0455,0.0469,0.0472,0.0473,0.0453,0.0455,0.0502,0.051
18,0.0523,0.0499,0.0478,0.0457,0.0467,0.0479,0.0482,0.048,0.0468,0.0475,0.0527,0.0523
19,0.0537,0.0541,0.0521,0.0478,0.0486,0.0493,0.0498,0.0494,0.0494,0.0525,0.0535,0.0525
20,0.053,0.0538,0.0544,0.0493,0.0494,0.0493,0.05,0.0497,0.0524,0.0549,0.0521,0.0513
21,0.0512,0.0518,0.0528,0.0517,0.0499,0.0489,0.0496,0.0501,0.0546,0.0529,0.0501,0.0493
22,0.0477,0.048,0.0488,0.0523,0.0504,0.0485,0.049,0.0513,0.0513,0.049,0.0466,0.0463
23,0.042,0.042,0.0423,0.0459,0.0471,0.0461,0.0466,0.046,0.0434,0.0429,0.0409,0.0414
24,0.036,0.0357,0.0359,0.038,0.0394,0.0407,0.0399,0.038,0.036,0.0346,0.0351,0.0364
