Hour,January,February,March,April,May,June,July,August,September,October,November,December
1,0.0334,0.0331,0.0326,0.0342,0.0344,0.036,0.0352,0.034,0.0321,0.0327,0.0323,0.0332
2,0.0303,0.0301,0.03,0.0304,0.0302,0.0309,0.0306,0.03,0.029,0.0301,0.0294,0.0303
3,0.0286,0.0285,0.0282,0.0287,0.0282,0.0283,0.028,0.0277,0.0272,0.0282,0.0279,0.0287
4,0.0278,0.0278,0.0278,0.0279,0.0272,0.0272,0.027,0.0267,0.0265,0.0277,0.027,0.0279
5,0.0278,0.0278,0.028,0.028,0.027,0.0265,0.0265,0.0267,0.0264,0.0277,0.0271,0.0279
6,0.0288,0.0288,0.0292,0.0289,0.0278,0.0275,0.0271,0.0274,0.0275,0.0287,0.0283,0.0289
7,0.0311,0.0313,0.032,0.0317,0.0307,0.0306,0.03,0.0299,0.03,0.0317,0.0312,0.0313
8,0.0346,0.0353,0.037,0.037,0.0357,0.0356,0.0345,0.0346,0.0346,0.036,0.035,0.0347
9,0.0392,0.0406,0.0429,0.0438,0.0422,0.0419,0.0412,0.0416,0.0414,0.0414,0.0402,0.0391
10,0.0439,0.0457,0.0472,0.0488,0.0472,0.0473,0.047,0.0475,0.0469,0.0465,0.0453,0.0438
11,0.0468,0.0481,0.0484,0.0497,0.0489,0.0497,0.0497,0.0502,0.0491,0.0486,0.0477,0.0469
12,0.0476,0.0486,0.0483,0.0487,0.0488,0.0498,0.05,0.0502,0.0492,0.0486,0.0482,0.0478
13,0.0475,0.048,0.0477,0.0476,0.0484,0.0493,0.0494,0.0494,0.0489,0.0481,0.0482,0.0479
14,0.047,0.0473,0.0471,0.0465,0.0478,0.0485,0.0485,0.0485,0.0485,0.0476,0.048,0.0479
15,0.0465,0.0464,0.0463,0.0454,0.047,0.0476,0.0478,0.0476,0.0478,0.0466,0.0477,0.048
16,0.047,0.0461,0.0463,0.0448,0.0462,0.0469,0.0471,0.0469,0.0475,0.0463,0.0485,0.0492
17,0.0503,0.0473,0.047,0.0449,0.0464,0.0468,0.047,0.0469,0.0475,0.0469,0.0519,0.0523
18,0.0538,0.051,0.0491,0.0458,0.0474,0.0474,0.0478,0.0475,0.0486,0.0489,0.0543,0.0533
19,0.0542,0.0543,0.0523,0.0471,0.0485,0.0482,0.0487,0.0486,0.0501,0.0529,0.054,0.053
20,0.0533,0.0539,0.0546,0.0487,0.0492,0.0486,0.0492,0.049,0.0527,0.0545,0.0522,0.0516
21,0.0517,0.052,0.0532,0.0514,0.0503,0.0487,0.0495,0.0502,0.0551,0.0525,0.0503,0.0499
22,0.0485,0.0485,0.049,0.0531,0.0513,0.0483,0.0493,0.0518,0.0519,0.0485,0.0469,0.0471
23,0.043,0.0427,0.0429,0.0474,0.0482,0.0463,0.0475,0.0472,0.0445,0.0427,0.0415,0.0422
24,0.0373,0.0368,0.0329,0.0395,0.041,0.0421,0.0414,0.0399,0.037,0.0366,0.0369,0.0371
