Time,System Production (W)
05/06/2019 00:00,"0"
05/06/2019 00:15,"0"
05/06/2019 00:30,"0"
05/06/2019 00:45,"0"
05/06/2019 01:00,"0"
05/06/2019 01:15,"0"
05/06/2019 01:30,"0"
05/06/2019 01:45,"0"
05/06/2019 02:00,"0"
05/06/2019 02:15,"0"
05/06/2019 02:30,"0"
05/06/2019 02:45,"0"
05/06/2019 03:00,"0"
05/06/2019 03:15,"0"
05/06/2019 03:30,"0"
05/06/2019 03:45,"0"
05/06/2019 04:00,"0"
05/06/2019 04:15,"0"
05/06/2019 04:30,"0"
05/06/2019 04:45,"0"
05/06/2019 05:00,"0"
05/06/2019 05:15,"0"
05/06/2019 05:30,"0"
05/06/2019 05:45,"7.1265"
05/06/2019 06:00,"15.6334"
05/06/2019 06:15,"47.7485"
05/06/2019 06:30,"107.0764"
05/06/2019 06:45,"175.2361"
05/06/2019 07:00,"241.9397"
05/06/2019 07:15,"327.5687"
05/06/2019 07:30,"421.2817"
05/06/2019 07:45,"515.0906"
05/06/2019 08:00,"614.1624"
05/06/2019 08:15,"708.1624"
05/06/2019 08:30,"798.1974"
05/06/2019 08:45,"891.8463"
05/06/2019 09:00,"983.365"
05/06/2019 09:15,"1050.2375"
05/06/2019 09:30,"1162.4847"
05/06/2019 09:45,"1238.1814"
05/06/2019 10:00,"1308.0986"
05/06/2019 10:15,"1088.3224"
05/06/2019 10:30,"1441.4423"
05/06/2019 10:45,"1470.1298"
05/06/2019 11:00,"1509.8994"
05/06/2019 11:15,"1565.5165"
05/06/2019 11:30,"1574.1819"
05/06/2019 11:45,"1594.7194"
05/06/2019 12:00,"1667.2101"
05/06/2019 12:15,"1420.7322"
05/06/2019 12:30,"1729.5291"
05/06/2019 12:45,"1704.6604"
05/06/2019 13:00,"1742.0591"
05/06/2019 13:15,"1813.3583"
05/06/2019 13:30,"1880.9567"
05/06/2019 13:45,"316.4303"
05/06/2019 14:00,"315.5571"
05/06/2019 14:15,"340.2347"
05/06/2019 14:30,"739.8876"
05/06/2019 14:45,"1155.4099"
05/06/2019 15:00,"1128.6346"
05/06/2019 15:15,"1260.8201"
05/06/2019 15:30,"1036.6201"
05/06/2019 15:45,"814.983"
05/06/2019 16:00,"847.5324"
05/06/2019 16:15,"479.8417"
05/06/2019 16:30,"647.3598"
05/06/2019 16:45,"634.9722"
05/06/2019 17:00,"493.3288"
05/06/2019 17:15,"416.9366"
05/06/2019 17:30,"300.7602"
05/06/2019 17:45,"336.2654"
05/06/2019 18:00,"336.194"
05/06/2019 18:15,"290.6861"
05/06/2019 18:30,"261.2379"
05/06/2019 18:45,"203.9355"
05/06/2019 19:00,"127.1386"
05/06/2019 19:15,"120.6335"
05/06/2019 19:30,"125.3888"
05/06/2019 19:45,"156.9268"
05/06/2019 20:00,"112.8461"
05/06/2019 20:15,"56.7458"
05/06/2019 20:30,"34.3022"
05/06/2019 20:45,"9.2488"
05/06/2019 21:00,"0"
05/06/2019 21:15,"0"
05/06/2019 21:30,"0"
05/06/2019 21:45,"0"
05/06/2019 22:00,"0"
05/06/2019 22:15,"0"
05/06/2019 22:30,"0"
05/06/2019 22:45,"0"
05/06/2019 23:00,"0"
05/06/2019 23:15,"0"
05/06/2019 23:30,"0"
05/06/2019 23:45,"0"
05/07/2019 00:00,"0"
05/07/2019 00:15,"0"
05/07/2019 00:30,"0"
05/07/2019 00:45,"0"
05/07/2019 01:00,"0"
05/07/2019 01:15,"0"
05/07/2019 01:30,"0"
05/07/2019 01:45,"0"
05/07/2019 02:00,"0"
05/07/2019 02:15,"0"
05/07/2019 02:30,"0"
05/07/2019 02:45,"0"
05/07/2019 03:00,"0"
05/07/2019 03:15,"0"
05/07/2019 03:30,"0"
05/07/2019 03:45,"0"
05/07/2019 04:00,"0"
05/07/2019 04:15,"0"
05/07/2019 04:30,"0"
05/07/2019 04:45,"0"
05/07/2019 05:00,"0"
05/07/2019 05:15,"0"
05/07/2019 05:30,"0"
05/07/2019 05:45,"14.43"
05/07/2019 06:00,"78.3699"
05/07/2019 06:15,"99.6741"
05/07/2019 06:30,"153.2034"
05/07/2019 06:45,"173.17"
05/07/2019 07:00,"236.4307"
05/07/2019 07:15,"398.0508"
05/07/2019 07:30,"416.6303"
05/07/2019 07:45,"412.3709"
05/07/2019 08:00,"480.4418"
05/07/2019 08:15,"547.3451"
05/07/2019 08:30,"723.9716"
05/07/2019 08:45,"726.7986"
05/07/2019 09:00,"1028.1716"
05/07/2019 09:15,"1036.0022"
05/07/2019 09:30,"1215.6527"
05/07/2019 09:45,"1317.0175"
05/07/2019 10:00,"1014.8488"
05/07/2019 10:15,"1485.9655"
05/07/2019 10:30,"1582.8618"
05/07/2019 10:45,"1565.4374"
05/07/2019 11:00,"834.1398"
05/07/2019 11:15,"1105.4966"
05/07/2019 11:30,"929.4418"
05/07/2019 11:45,"832.4744"
05/07/2019 12:00,"1384.4695"
05/07/2019 12:15,"1445.5922"
05/07/2019 12:30,"417.583"
05/07/2019 12:45,"1434.7062"
05/07/2019 13:00,"1212.379"
05/07/2019 13:15,"653.495"
05/07/2019 13:30,"895.3369"
05/07/2019 13:45,"459.113"
05/07/2019 14:00,"775.8379"
05/07/2019 14:15,"664.1807"
05/07/2019 14:30,"569.7181"
05/07/2019 14:45,"951.5624"
05/07/2019 15:00,"1260.8469"
05/07/2019 15:15,"371.9258"
05/07/2019 15:30,"770.3394"
05/07/2019 15:45,"727.2139"
05/07/2019 16:00,"980.3926"
05/07/2019 16:15,"595.8002"
05/07/2019 16:30,"542.733"
05/07/2019 16:45,"344.1071"
05/07/2019 17:00,"354.5787"
05/07/2019 17:15,"474.9824"
05/07/2019 17:30,"349.2793"
05/07/2019 17:45,"289.2942"
05/07/2019 18:00,"268.4649"
05/07/2019 18:15,"319.603"
05/07/2019 18:30,"320.2122"
05/07/2019 18:45,"346.1977"
05/07/2019 19:00,"277.8221"
05/07/2019 19:15,"209.5962"
05/07/2019 19:30,"170.801"
05/07/2019 19:45,"133.8563"
05/07/2019 20:00,"96.9313"
05/07/2019 20:15,"61.3529"
05/07/2019 20:30,"30.3438"
05/07/2019 20:45,"6.0437"
05/07/2019 21:00,"0"
05/07/2019 21:15,"0"
05/07/2019 21:30,"0"
05/07/2019 21:45,"0"
05/07/2019 22:00,"0"
05/07/2019 22:15,"0"
05/07/2019 22:30,"0"
05/07/2019 22:45,"0"
05/07/2019 23:00,"0"
05/07/2019 23:15,"0"
05/07/2019 23:30,"0"
05/07/2019 23:45,"0"
05/08/2019 00:00,"0"
05/08/2019 00:15,"0"
05/08/2019 00:30,"0"
05/08/2019 00:45,"0"
05/08/2019 01:00,"0"
05/08/2019 01:15,"0"
05/08/2019 01:30,"0"
05/08/2019 01:45,"0"
05/08/2019 02:00,"0"
05/08/2019 02:15,"0"
05/08/2019 02:30,"0"
05/08/2019 02:45,"0"
05/08/2019 03:00,"0"
05/08/2019 03:15,"0"
05/08/2019 03:30,"0"
05/08/2019 03:45,"0"
05/08/2019 04:00,"0"
05/08/2019 04:15,"0"
05/08/2019 04:30,"0"
05/08/2019 04:45,"0"
05/08/2019 05:00,"0"
05/08/2019 05:15,"0"
05/08/2019 05:30,"0.2797"
05/08/2019 05:45,"10.8916"
05/08/2019 06:00,"27.0597"
05/08/2019 06:15,"67.1509"
05/08/2019 06:30,"130.7197"
05/08/2019 06:45,"200.1063"
05/08/2019 07:00,"261.5846"
05/08/2019 07:15,"344.7265"
05/08/2019 07:30,"433.6033"
05/08/2019 07:45,"524.5497"
05/08/2019 08:00,"624.0212"
05/08/2019 08:15,"721.9539"
05/08/2019 08:30,"812.1552"
05/08/2019 08:45,"900.5009"
05/08/2019 09:00,"987.5062"
05/08/2019 09:15,"1077.1471"
05/08/2019 09:30,"1157.0265"
05/08/2019 09:45,"1232.1526"
05/08/2019 10:00,"1311.7827"
05/08/2019 10:15,"1380.3127"
05/08/2019 10:30,"1408.2311"
05/08/2019 10:45,"1588.1294"
05/08/2019 11:00,"1719.4989"
05/08/2019 11:15,"1829.1609"
05/08/2019 11:30,"835.5742"
05/08/2019 11:45,"893.9527"
05/08/2019 12:00,"433.4955"
05/08/2019 12:15,"1722.3323"
05/08/2019 12:30,"1995.8186"
05/08/2019 12:45,"1934.4097"
05/08/2019 13:00,"1494.6057"
05/08/2019 13:15,"2030.637"
05/08/2019 13:30,"1063.7019"
05/08/2019 13:45,"1427.9028"
05/08/2019 14:00,"568.6533"
05/08/2019 14:15,"381.0138"
05/08/2019 14:30,"1110.3353"
05/08/2019 14:45,"1015.6249"
05/08/2019 15:00,"465.7386"
05/08/2019 15:15,"336.6087"
05/08/2019 15:30,"536.9697"
05/08/2019 15:45,"1120.2881"
05/08/2019 16:00,"555.4109"
05/08/2019 16:15,"555.4162"
05/08/2019 16:30,"298.62"
05/08/2019 16:45,"504.5292"
05/08/2019 17:00,"402.8922"
05/08/2019 17:15,"362.9374"
05/08/2019 17:30,"302.2785"
05/08/2019 17:45,"354.4384"
05/08/2019 18:00,"344.4638"
05/08/2019 18:15,"247.1787"
05/08/2019 18:30,"249.1255"
05/08/2019 18:45,"187.7644"
05/08/2019 19:00,"246.8156"
05/08/2019 19:15,"199.0332"
05/08/2019 19:30,"204.5091"
05/08/2019 19:45,"165.2821"
05/08/2019 20:00,"110.488"
05/08/2019 20:15,"63.7628"
05/08/2019 20:30,"32.7311"
05/08/2019 20:45,"6.3883"
05/08/2019 21:00,"2.7147"
05/08/2019 21:15,"0"
05/08/2019 21:30,"0"
05/08/2019 21:45,"0"
05/08/2019 22:00,"0"
05/08/2019 22:15,"0"
05/08/2019 22:30,"0"
05/08/2019 22:45,"0"
05/08/2019 23:00,"0"
05/08/2019 23:15,"0"
05/08/2019 23:30,"0"
05/08/2019 23:45,"0"
05/09/2019 00:00,"0"
05/09/2019 00:15,"0"
05/09/2019 00:30,"0"
05/09/2019 00:45,"0"
05/09/2019 01:00,"0"
05/09/2019 01:15,"0"
05/09/2019 01:30,"0"
05/09/2019 01:45,"0"
05/09/2019 02:00,"0"
05/09/2019 02:15,"0"
05/09/2019 02:30,"0"
05/09/2019 02:45,"0"
05/09/2019 03:00,"0"
05/09/2019 03:15,"0"
05/09/2019 03:30,"0"
05/09/2019 03:45,"0"
05/09/2019 04:00,"0"
05/09/2019 04:15,"0"
05/09/2019 04:30,"0"
05/09/2019 04:45,"0"
05/09/2019 05:00,"0"
05/09/2019 05:15,"0"
05/09/2019 05:30,"0.6146"
05/09/2019 05:45,"13.5628"
05/09/2019 06:00,"33.7232"
05/09/2019 06:15,"64.6859"
05/09/2019 06:30,"124.5274"
05/09/2019 06:45,"203.81"
05/09/2019 07:00,"273.5886"
05/09/2019 07:15,"361.1215"
05/09/2019 07:30,"449.3828"
05/09/2019 07:45,"546.0087"
05/09/2019 08:00,"642.926"
05/09/2019 08:15,"737.0922"
05/09/2019 08:30,"829.4303"
05/09/2019 08:45,"920.2147"
05/09/2019 09:00,"1008.7751"
05/09/2019 09:15,"1091.036"
05/09/2019 09:30,"1174.3582"
05/09/2019 09:45,"1249.7008"
05/09/2019 10:00,"1318.5192"
05/09/2019 10:15,"1371.2682"
05/09/2019 10:30,"1437.0654"
05/09/2019 10:45,"1476.4139"
05/09/2019 11:00,"1530.4346"
05/09/2019 11:15,"1591.3093"
05/09/2019 11:30,"1632.9401"
05/09/2019 11:45,"1679.0068"
05/09/2019 12:00,"1709.2943"
05/09/2019 12:15,"1729.2479"
05/09/2019 12:30,"1738.4825"
05/09/2019 12:45,"1747.4703"
05/09/2019 13:00,"1750.8518"
05/09/2019 13:15,"1753.5289"
05/09/2019 13:30,"1738.4198"
05/09/2019 13:45,"1654.5353"
05/09/2019 14:00,"1106.627"
05/09/2019 14:15,"878.4468"
05/09/2019 14:30,"833.783"
05/09/2019 14:45,"764.1292"
05/09/2019 15:00,"773.5639"
05/09/2019 15:15,"754.1946"
05/09/2019 15:30,"614.3943"
05/09/2019 15:45,"641.4882"
05/09/2019 16:00,"710.918"
05/09/2019 16:15,"563.3397"
05/09/2019 16:30,"747.7726"
05/09/2019 16:45,"518.6322"
05/09/2019 17:00,"424.3549"
05/09/2019 17:15,"263.0018"
05/09/2019 17:30,"276.3506"
05/09/2019 17:45,"241.5595"
05/09/2019 18:00,"222.8555"
05/09/2019 18:15,"214.6454"
05/09/2019 18:30,"270.8645"
05/09/2019 18:45,"342.4219"
05/09/2019 19:00,"236.2484"
05/09/2019 19:15,"258.1501"
05/09/2019 19:30,"89.8061"
05/09/2019 19:45,"92.1946"
05/09/2019 20:00,"72.4536"
05/09/2019 20:15,"35.9177"
05/09/2019 20:30,"8.5371"
05/09/2019 20:45,"0"
05/09/2019 21:00,"0"
05/09/2019 21:15,"0"
05/09/2019 21:30,"0"
05/09/2019 21:45,"0"
05/09/2019 22:00,"0"
05/09/2019 22:15,"0"
05/09/2019 22:30,"0"
05/09/2019 22:45,"0"
05/09/2019 23:00,"0"
05/09/2019 23:15,"0"
05/09/2019 23:30,"0"
05/09/2019 23:45,"0"
05/10/2019 00:00,"0"
05/10/2019 00:15,"0"
05/10/2019 00:30,"0"
05/10/2019 00:45,"0"
05/10/2019 01:00,"0"
05/10/2019 01:15,"0"
05/10/2019 01:30,"0"
05/10/2019 01:45,"0"
05/10/2019 02:00,"0"
05/10/2019 02:15,"0"
05/10/2019 02:30,"0"
05/10/2019 02:45,"0"
05/10/2019 03:00,"0"
05/10/2019 03:15,"0"
05/10/2019 03:30,"0"
05/10/2019 03:45,"0"
05/10/2019 04:00,"0"
05/10/2019 04:15,"0"
05/10/2019 04:30,"0"
05/10/2019 04:45,"0"
05/10/2019 05:00,"0"
05/10/2019 05:15,"0"
05/10/2019 05:30,"0"
05/10/2019 05:45,"0"
05/10/2019 06:00,"2.3451"
05/10/2019 06:15,"0.6308"
05/10/2019 06:30,"7.5733"
05/10/2019 06:45,"58.726"
05/10/2019 07:00,"101.1908"
05/10/2019 07:15,"127.1557"
05/10/2019 07:30,"149.8267"
05/10/2019 07:45,"107.7039"
05/10/2019 08:00,"127.3706"
05/10/2019 08:15,"166.602"
05/10/2019 08:30,"423.8128"
05/10/2019 08:45,"365.5511"
05/10/2019 09:00,"284.7952"
05/10/2019 09:15,"319.6049"
05/10/2019 09:30,"337.5193"
05/10/2019 09:45,"424.3208"
05/10/2019 10:00,"356.4564"
05/10/2019 10:15,"258.8759"
05/10/2019 10:30,"294.3172"
05/10/2019 10:45,"265.1418"
05/10/2019 11:00,"169.6409"
05/10/2019 11:15,"319.0999"
05/10/2019 11:30,"385.8796"
05/10/2019 11:45,"357.9137"
05/10/2019 12:00,"326.7238"
05/10/2019 12:15,"326.5555"
05/10/2019 12:30,"394.92"
05/10/2019 12:45,"281.3906"
05/10/2019 13:00,"262.8648"
05/10/2019 13:15,"348.3719"
05/10/2019 13:30,"579.3897"
05/10/2019 13:45,"815.1364"
05/10/2019 14:00,"969.475"
05/10/2019 14:15,"643.1643"
05/10/2019 14:30,"667.681"
05/10/2019 14:45,"542.9379"
05/10/2019 15:00,"771.9587"
05/10/2019 15:15,"681.4699"
05/10/2019 15:30,"477.6795"
