Time,System Production (W)
05/17/2021 00:00,"0"
05/17/2021 00:15,"0"
05/17/2021 00:30,"0"
05/17/2021 00:45,"0"
05/17/2021 01:00,"0"
05/17/2021 01:15,"0"
05/17/2021 01:30,"0"
05/17/2021 01:45,"0"
05/17/2021 02:00,"0"
05/17/2021 02:15,"0"
05/17/2021 02:30,"0"
05/17/2021 02:45,"0"
05/17/2021 03:00,"0"
05/17/2021 03:15,"0"
05/17/2021 03:30,"0"
05/17/2021 03:45,"0"
05/17/2021 04:00,"0"
05/17/2021 04:15,"0"
05/17/2021 04:30,"0"
05/17/2021 04:45,"0"
05/17/2021 05:00,"0"
05/17/2021 05:15,"0"
05/17/2021 05:30,"0"
05/17/2021 05:45,"6.1244"
05/17/2021 06:00,"26.5158"
05/17/2021 06:15,"76.1864"
05/17/2021 06:30,"94.6246"
05/17/2021 06:45,"219.466"
05/17/2021 07:00,"261.74"
05/17/2021 07:15,"662.8766"
05/17/2021 07:30,"452.0391"
05/17/2021 07:45,"230.9181"
05/17/2021 08:00,"165.8419"
05/17/2021 08:15,"93.9312"
05/17/2021 08:30,"186.6059"
05/17/2021 08:45,"193.4528"
05/17/2021 09:00,"223.0945"
05/17/2021 09:15,"458.0059"
05/17/2021 09:30,"170.6923"
05/17/2021 09:45,"166.3833"
05/17/2021 10:00,"125.2198"
05/17/2021 10:15,"145.1674"
05/17/2021 10:30,"66.9337"
05/17/2021 10:45,"90.1738"
05/17/2021 11:00,"103.576"
05/17/2021 11:15,"301.8813"
05/17/2021 11:30,"369.257"
05/17/2021 11:45,"344.0204"
05/17/2021 12:00,"135.3401"
05/17/2021 12:15,"197.5373"
05/17/2021 12:30,"27.84"
05/17/2021 12:45,"132.2899"
05/17/2021 13:00,"102.9682"
05/17/2021 13:15,"129.1479"
05/17/2021 13:30,"112.5699"
05/17/2021 13:45,"70.1711"
05/17/2021 14:00,"122.183"
05/17/2021 14:15,"134.8979"
05/17/2021 14:30,"93.1401"
05/17/2021 14:45,"100.7727"
05/17/2021 15:00,"176.8239"
05/17/2021 15:15,"318.1885"
05/17/2021 15:30,"489.7061"
05/17/2021 15:45,"931.8029"
05/17/2021 16:00,"1183.9696"
05/17/2021 16:15,"954.2095"
05/17/2021 16:30,"623.7988"
05/17/2021 16:45,"725.7191"
05/17/2021 17:00,"546.6567"
05/17/2021 17:15,"524.3905"
05/17/2021 17:30,"354.4795"
05/17/2021 17:45,"352.1331"
05/17/2021 18:00,"239.19"
05/17/2021 18:15,"205.9627"
05/17/2021 18:30,"129.3894"
05/17/2021 18:45,"190.3434"
05/17/2021 19:00,"167.9708"
05/17/2021 19:15,"159.4252"
05/17/2021 19:30,"146.5505"
05/17/2021 19:45,"129.3743"
05/17/2021 20:00,"126.0363"
05/17/2021 20:15,"94.9427"
05/17/2021 20:30,"81.0758"
05/17/2021 20:45,"81.6402"
05/17/2021 21:00,"56.7842"
05/17/2021 21:15,"13.158"
05/17/2021 21:30,"0"
05/17/2021 21:45,"0"
05/17/2021 22:00,"0"
05/17/2021 22:15,"0"
05/17/2021 22:30,"0"
05/17/2021 22:45,"0"
05/17/2021 23:00,"0"
05/17/2021 23:15,"0"
05/17/2021 23:30,"0"
05/17/2021 23:45,"0"
05/18/2021 00:00,"0"
05/18/2021 00:15,"0"
05/18/2021 00:30,"0"
05/18/2021 00:45,"0"
05/18/2021 01:00,"0"
05/18/2021 01:15,"0"
05/18/2021 01:30,"0"
05/18/2021 01:45,"0"
05/18/2021 02:00,"0"
05/18/2021 02:15,"0"
05/18/2021 02:30,"0"
05/18/2021 02:45,"0"
05/18/2021 03:00,"0"
05/18/2021 03:15,"0"
05/18/2021 03:30,"0"
05/18/2021 03:45,"0"
05/18/2021 04:00,"0"
05/18/2021 04:15,"0"
05/18/2021 04:30,"0"
05/18/2021 04:45,"0"
05/18/2021 05:00,"0"
05/18/2021 05:15,"0"
05/18/2021 05:30,"4.0703"
05/18/2021 05:45,"34.5722"
05/18/2021 06:00,"108.3281"
05/18/2021 06:15,"144.0257"
05/18/2021 06:30,"140.7274"
05/18/2021 06:45,"241.5053"
05/18/2021 07:00,"275.3327"
05/18/2021 07:15,"192.9623"
05/18/2021 07:30,"129.666"
05/18/2021 07:45,"167.037"
05/18/2021 08:00,"165.0032"
05/18/2021 08:15,"148.7939"
05/18/2021 08:30,"144.7306"
05/18/2021 08:45,"73.5021"
05/18/2021 09:00,"40.7904"
05/18/2021 09:15,"53.5507"
05/18/2021 09:30,"151.6897"
05/18/2021 09:45,"185.0843"
05/18/2021 10:00,"129.6165"
05/18/2021 10:15,"169.6928"
05/18/2021 10:30,"167.2366"
05/18/2021 10:45,"40.2439"
05/18/2021 11:00,"13.2572"
05/18/2021 11:15,"45.879"
05/18/2021 11:30,"56.7329"
05/18/2021 11:45,"151.6237"
05/18/2021 12:00,"124.4055"
05/18/2021 12:15,"92.9941"
05/18/2021 12:30,"64.1784"
05/18/2021 12:45,"56.5724"
05/18/2021 13:00,"78.7682"
05/18/2021 13:15,"55.5097"
05/18/2021 13:30,"74.3449"
05/18/2021 13:45,"34.5249"
05/18/2021 14:00,"9.4968"
05/18/2021 14:15,"77.9205"
05/18/2021 14:30,"127.7424"
05/18/2021 14:45,"70.2701"
05/18/2021 15:00,"63.4487"
05/18/2021 15:15,"90.7503"
05/18/2021 15:30,"70.5936"
05/18/2021 15:45,"118.4726"
05/18/2021 16:00,"106.7756"
05/18/2021 16:15,"100.1361"
05/18/2021 16:30,"132.5369"
05/18/2021 16:45,"59.9486"
05/18/2021 17:00,"41.4699"
05/18/2021 17:15,"105.064"
05/18/2021 17:30,"68.68"
05/18/2021 17:45,"79.8525"
05/18/2021 18:00,"42.7566"
05/18/2021 18:15,"38.1475"
05/18/2021 18:30,"26.9153"
05/18/2021 18:45,"30.7883"
05/18/2021 19:00,"27.2622"
05/18/2021 19:15,"40.4219"
05/18/2021 19:30,"0.9204"
05/18/2021 19:45,"0"
05/18/2021 20:00,"1.0528"
05/18/2021 20:15,"1.2835"
05/18/2021 20:30,"0"
05/18/2021 20:45,"0"
05/18/2021 21:00,"0"
05/18/2021 21:15,"0"
05/18/2021 21:30,"0"
05/18/2021 21:45,"0"
05/18/2021 22:00,"0"
05/18/2021 22:15,"0"
05/18/2021 22:30,"0"
05/18/2021 22:45,"0"
05/18/2021 23:00,"0"
05/18/2021 23:15,"0"
05/18/2021 23:30,"0"
05/18/2021 23:45,"0"
05/19/2021 00:00,"0"
05/19/2021 00:15,"0"
05/19/2021 00:30,"0"
05/19/2021 00:45,"0"
05/19/2021 01:00,"0"
